# Frequency [Hz], Real(S21), Imag(S21)
1.474000000000000000e+10, 3.902096727523728797e-02, -3.122317248982007798e-01
1.476000000000000000e+10, 1.069203575039866932e-02, -2.888434728358969528e-01
1.478000000000000000e+10, -1.233725774077372266e-02, -2.653589943028124565e-01
1.480000000000000000e+10, -3.079573133039566896e-02, -2.423390711201835745e-01
1.482000000000000000e+10, -4.535150661700393382e-02, -2.201577084989701505e-01
1.484000000000000000e+10, -5.659847939874326772e-02, -1.990487031992282385e-01
1.486000000000000000e+10, -6.505290957418026487e-02, -1.791431928081947678e-01
1.488000000000000000e+10, -7.115592282852641060e-02, -1.604989504250183274e-01
1.490000000000000000e+10, -7.527908680484972359e-02, -1.431226858977741045e-01
1.492000000000000000e+10, -7.773123316617129575e-02, -1.269867030388044937e-01
1.494000000000000000e+10, -7.876539283096054000e-02, -1.120411533353841832e-01
1.496000000000000000e+10, -7.858516399009750353e-02, -9.822294309160792269e-02
1.498000000000000000e+10, -7.735010467805684964e-02, -8.546215805516417519e-02
1.500000000000000000e+10, -7.517988149268049758e-02, -7.368669942652265881e-02
